model,concurrency,state_label,condition,metric,analysis_status,n_episodes,n_episodes_total,median,mean,sample_sd,iqr,min,max
qwen,8,low,no_burst,victim_p95_ttft_ms,ok,5,5,471.00277520000003,475.5297068,8.151721108083922,7.968892499999981,469.1277089,488.5804136
qwen,8,low,no_burst,victim_median_e2el_ms,ok,5,5,1677.5830839999999,1681.1160604999998,8.1351042899788,11.220509499999935,1674.1732905,1692.9548465
qwen,8,low,no_burst,victim_p95_e2el_ms,ok,5,5,1711.5072925,1715.74787962,12.761273735567366,3.1966056999999637,1704.8994672,1737.8016079000001
qwen,8,low,no_burst,victim_goodput_tokens_per_s,ok,5,5,263.54022913771644,262.7655996676134,1.5387833578404115,1.4136060603503324,260.3522539024434,264.1885203890606
qwen,8,low,no_burst,victim_success_rate,ok,5,5,1.0,1.0,0.0,0.0,1.0,1.0
qwen,8,low,no_burst,victim_timeout_rate,ok,5,5,0.0,0.0,0.0,0.0,0.0,0.0
qwen,8,low,no_burst,victim_failure_rate,ok,5,5,0.0,0.0,0.0,0.0,0.0,0.0
qwen,8,low,fixed_burst,victim_median_tpot_ms,ok,5,5,22.197978031746032,21.946778115873013,0.5926528994138655,0.04065630952380772,20.8882011031746,22.261735055555555
qwen,8,low,fixed_burst,victim_median_itl_ms,ok,5,5,19.882458999999997,19.8829804,0.03354699088480048,0.041202499999997144,19.841272500000002,19.926705
qwen,8,low,fixed_burst,victim_p95_itl_ms,ok,5,5,20.3480985,20.31698042,0.10260592011188688,0.14631900000000186,20.191302,20.436679599999998
qwen,8,low,fixed_burst,victim_itl_iqr_ms,ok,5,5,0.2843130000000045,0.2838034500000006,0.038493254907676945,0.03137025000000193,0.22095700000000207,0.31582649999999646
qwen,8,low,fixed_burst,victim_median_ttft_ms,ok,5,5,453.597307,455.7244479,7.8640456025900125,1.7714755000000082,448.93760050000003,469.30179350000003
qwen,8,low,fixed_burst,victim_p95_ttft_ms,ok,5,5,490.93373675,491.13119436000005,7.127109750285834,1.1430592500000216,480.9683933,501.0874157
qwen,8,low,fixed_burst,victim_median_e2el_ms,ok,5,5,1747.0510669999999,1742.9514370999998,12.646831291281593,16.825475500000266,1724.0484935,1753.7195005
qwen,8,low,fixed_burst,victim_p95_e2el_ms,ok,5,5,1952.6118861999998,1951.3554577,10.120677665675927,10.090498399999888,1939.28677005,1965.68655785
qwen,8,low,fixed_burst,victim_goodput_tokens_per_s,ok,5,5,246.0219540681417,245.66963308346953,0.7012950406470166,0.7425713483328593,244.56343653398238,246.24166279715368
qwen,8,low,fixed_burst,victim_success_rate,ok,5,5,1.0,1.0,0.0,0.0,1.0,1.0
qwen,8,low,fixed_burst,victim_timeout_rate,ok,5,5,0.0,0.0,0.0,0.0,0.0,0.0
qwen,8,low,fixed_burst,victim_failure_rate,ok,5,5,0.0,0.0,0.0,0.0,0.0,0.0
qwen,8,high,no_burst,victim_median_tpot_ms,ok,5,5,1493.9294335873017,1493.7297319285715,1.105855516202551,1.4531101666666473,1492.5167222142857,1495.2170992936508
qwen,8,high,no_burst,victim_median_itl_ms,ok,5,5,1493.5883724999999,1493.4114775,1.1280271371130417,1.3695030000001225,1492.1936660000001,1494.990382
qwen,8,high,no_burst,victim_p95_itl_ms,ok,5,5,1495.4714680000002,1495.1425061999998,1.1464214511744724,1.6034888500000761,1493.8807657500001,1496.602725
qwen,8,high,no_burst,victim_itl_iqr_ms,ok,5,5,1.9292512500001067,1.9499713999999586,0.1599190217770334,0.17605600000024424,1.7503469999999197,2.165629249999938
qwen,8,high,no_burst,victim_median_ttft_ms,ok,5,5,17258.601546500002,18067.294487400002,1122.29499395373,2052.5258194999988,17241.667794,19298.010276
qwen,8,high,no_burst,victim_p95_ttft_ms,ok,5,5,18724.90409075,19528.332435020002,1123.0079370987119,2028.5480613000036,18679.1951234,20767.29035655
qwen,8,high,no_burst,victim_median_e2el_ms,ok,5,5,111450.436818,112180.83505549999,1059.2691678890574,1940.7549665000115,111385.71083,113354.42201000001
qwen,8,high,no_burst,victim_p95_e2el_ms,ok,5,5,112928.5406735,113642.31452685001,1068.0055127036253,1937.3672520499968,112803.9527048,114828.26459199999
qwen,8,high,no_burst,victim_goodput_tokens_per_s,ok,5,5,3.884731509568829,3.86008997862152,0.03670805912508556,0.06720120942262708,3.8198736261125594,3.8887550706072638
qwen,8,high,no_burst,victim_success_rate,ok,5,5,1.0,1.0,0.0,0.0,1.0,1.0
qwen,8,high,no_burst,victim_timeout_rate,ok,5,5,0.0,0.0,0.0,0.0,0.0,0.0
qwen,8,high,no_burst,victim_failure_rate,ok,5,5,0.0,0.0,0.0,0.0,0.0,0.0
qwen,8,high,fixed_burst,victim_median_tpot_ms,ok,5,5,1591.3362054841268,1584.395729977778,16.643823235762028,1.3313203968252765,1554.6582338968253,1592.9805060793651
